NAME,UMAP 1,UMAP 2,UMAP 3,UMAP 4,UMAP 5,UMAP 6,UMAP 7,UMAP 8,UMAP 9,UMAP 10,SMILES
ligand181,7.967097,5.0124784,4.3975286,3.9639149,2.1281636,3.4776804,3.8954742,3.6706953,4.2469673,3.1596084,CCOC(=O)C(=O)CC(=O)C1=CC=CC=C1F
ligand182,11.070202,11.027446,6.441593,6.6231537,5.6620455,4.3424354,5.188146,5.0968547,4.781048,3.3171737,CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC
ligand183,8.840521,5.588015,5.82142,5.1664414,3.033252,3.8061173,4.7721386,2.8904667,4.4810386,3.5221,C1=CC=C2C(=C1)C=CC=C2C(=O)CC(=O)C(F)(F)F
ligand184,9.534941,6.414179,6.026933,6.1102552,3.5080502,4.6453896,5.516961,1.9816146,4.960082,4.8989534,C(C(=O)C(C(F)(F)F)(F)F)C(=O)C(F)(F)F
ligand185,14.764967,2.7993703,6.789684,4.8053093,2.095152,5.919464,3.3021955,2.0307608,8.486888,7.7539105,CC(=O)CC(=O)C1CCCCC1
ligand186,9.034127,6.057655,6.021344,5.571492,3.7577972,4.1049113,5.2804427,2.2004013,4.792204,4.3462553,COC(=O)C(=O)CC(=O)C1=CC=CC=C1Cl
ligand187,10.485131,9.806469,7.0020247,6.4531975,5.6366796,3.9365554,5.723329,3.6495273,4.466115,3.7099087,C(C(=O)CCl)C(=O)CCl
ligand188,10.997732,10.883113,6.906893,6.856464,5.3966775,4.11444,5.257577,5.059198,4.5588813,3.3210685,C1CC2CCCC(=O)C2C(=O)C1
ligand189,15.101545,2.1996005,6.545978,4.4806066,2.0047956,5.951162,2.9807222,1.9776915,8.535376,7.5586996,CC(C)(C)C(=O)CC(=O)C(C(F)(F)F)(F)F
ligand19,11.710628,8.554659,8.508539,7.976476,4.3824534,4.7842207,6.6217065,3.7304902,4.482757,4.367548,CC(=O)CC(=O)C1=CC=CC=C1Cl
